"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Dirigible ZR-1 Shenandoah (airship)"|"?"|"?"|"?"|"September 03, 1925"|"?"|"0"|"Caldwell, Ohio"|"Military - U.S. Navy"|"?"|"?"|"ZR-1"|"Lakehurst, NJ - S.t Louis, MO"|"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."|"c 05:30"|"43"
"Spad 33"|"?"|"?"|"?"|"September 07, 1925"|"?"|"?"|"Toul, France"|"CIDNA"|"?"|"?"|"?"|"?"|"?"|"?"|"?"
"De Havilland DH-4"|"?"|"1"|"1"|"October 01, 1925"|"?"|"0"|"Mt. Nittany, Ohio"|"US Aerial Mail Service"|"0"|"0"|"385"|"New York - San Francisco"|"Crashed into a wooded area on Mt. Nittany in fog and low visibility."|"?"|"1"
"Breguet 14"|"168"|"1"|"1"|"November 14, 1925"|"?"|"0"|"Nouadhibou, Mauritania"|"Lignes Aeriennes Latecoere"|"0"|"0"|"F-AEGZ"|"?"|"The pilot suffered sunstroke lost control of the plane and crashed."|"?"|"1"
"Farman F-60 Goliath"|"?"|"?"|"?"|"November 14, 1925"|"?"|"0"|"Off Boulogne-sur-Mer, France"|"Air Union"|"?"|"?"|"F-AMFY"|"?"|"?"|"?"|"2"
"Curtiss Carrier Pigeon"|"?"|"1"|"1"|"February 12, 1926"|"?"|"0"|"Montpelier, Ohio"|"US Aerial Mail Service"|"0"|"0"|"602"|"?"|"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."|"?"|"1"
"Junkers F-13"|"665"|"1"|"1"|"March 08, 1926"|"?"|"0"|"Staaken, Germany"|"Deutche Lufthansa"|"0"|"0"|"D-290
D-290"|"?"|"While in a training filight the aircraft stalled and crashed while attempting to land."|"?"|"1"
"Breguet 14"|"1908"|"1"|"1"|"May 31, 1926"|"?"|"0"|"English Channel"|"Air Union"|"0"|"0"|"F-ADAI"|"Paris - Cryodon"|"The mail plane crashed into the English Channel and was never found."|"?"|"1"
"Caudron C-61"|"5307"|"2"|"2"|"July 03, 1926"|"?"|"0"|"Rossaugpt, Czechoslovakia"|"Compagnie Internationale de Navigation Aérienne"|"4"|"4"|"F-AFBT"|"Paris - Prague - Budapest"|"Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude."|"?"|"6"
"Fokker F7"|"4759"|"1"|"1"|"July 09, 1926"|"?"|"0"|"Wolvertem, Belgium"|"KLM Royal Dutch Airlines"|"1"|"1"|"H-NACC"|"Amsterdam - Rotterdam - Brussels - Paris"|"Crashed into the ground while descending in poor weather."|"0930"|"2"
"Junkers F-13"|"660"|"1"|"1"|"July 24, 1926"|"?"|"0"|"Juist, Germany"|"Deutsche Lufthansa"|"4"|"4"|"D-272"|"?"|"Crashed under weather related.circumstances."|"?"|"5"
"Bleriot 155"|"2"|"2"|"1"|"August 18, 1926"|"?"|"0"|"Hurst, Kent, England"|"Air Union"|"13"|"2"|"F-AIEB"|"Lebourget, France - Croydon, England"|"The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later."|"?"|"15"
"Sikorsky S-25"|"?"|"1"|"0"|"September 26, 1926"|"?"|"0"|"New York, New York"|"?"|"4"|"2"|"?"|"New York - Paris"|"Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight."|"?"|"5"
"Bleriot 155"|"1"|"2"|"2"|"October 02, 1926"|"?"|"0"|"Leigh, Kent, Unied Kingdom"|"Air Union"|"5"|"5"|"F- AICQ"|"Paris - London"|"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."|"1527"|"7"
"Fokker FG III"|"1554"|"1"|"1"|"October 08, 1926"|"?"|"0"|"Bueren, Germany"|"Deutsche Lufthansa"|"3"|"3"|"D-468"|"?"|"Weather related."|"?"|"4"
"Handley Page W-10"|"W10/3"|"2"|"0"|"October 21, 1926"|"?"|"0"|"English Channel"|"Imperial Airways"|"10"|"0"|"G-EBMS"|"Croydon - Paris"|"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."|"c 13:15"|"12"
"Breguet 14"|"198"|"0"|"0"|"November 11, 1926"|"?"|"0"|"Cape Bojador, Morocco"|"Grands Express Aeriens"|"3"|"3"|"F-AFAX"|"Casablanca -Dakar"|"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."|"0800"|"3"
"Ryan M-1"|"?"|"1"|"1"|"December 16, 1926"|"?"|"0"|"Medford, Oregon"|"Pacific Air Transport"|"0"|"0"|"2"|"?"|"The postal plane crashed into a mountain slope in foggy conditions."|"?"|"1"
"Fokker F-VII"|"4938"|"2"|"2"|"January 12, 1927"|"?"|"0"|"Estaires, France"|"Fokker"|"0"|"0"|"G-EBPL"|"Delivery flight"|"The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off."|"?"|"0"
"Breguet 14"|"?"|"1"|"1"|"March 20, 1927"|"?"|"0"|"Rabat, Morocco"|"Grands Express Aeriens"|"0"|"0"|"F-ALRA"|"Casablanca - Oran"|"Unknown."|"?"|"1"
"de Havilland DH-9C"|"86"|"1"|"1"|"March 24, 1927"|"?"|"0"|"Tambo, Qld, Australia"|"Qantas"|"2"|"2"|"G-AUED"|"Charleville - Tambo - Blackall"|"While attempting to land, the engine failed, the aircraft stalled and crashed."|"?"|"3"
"Swallow
Swallow"|"A28"|"1"|"1"|"April 15, 1927"|"?"|"0"|"King Hill, Idaho"|"Varney Air Lines"|"0"|"0"|"?"|"?"|"Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground."|"?"|"1"
"Fokker FG III"|"1567"|"1"|"1"|"April 22, 1927"|"?"|"0"|"Floh, Germany"|"Deutsche Lufthansa"|"1"|"1"|"D-729"|"Charleville - Tambo - Blackall"|"Crashed following engine failure."|"?"|"2"
"Douglas M-4"|"?"|"1"|"1"|"April 22, 1927"|"?"|"0"|"Goshen, Indiana"|"US Aerial Mail Service"|"0"|"0"|"626"|"?"|"Crashed into a field during a snow storm."|"?"|"1"
"SPCA Meteore 63"|"?"|"3"|"1"|"May 02, 1927"|"?"|"0"|"Algiers, Algeria"|"Air Union"|"0"|"0"|"F-AIFN"|"?"|"The three engine seaplane stalled and crashed into the sea shortly after taking off."|"?"|"3"
"Junkers F-13"|"591"|"2"|"2"|"July 27, 1927"|"?"|"0"|"Amoneburg, Germany"|"Deutsche Lufthansa"|"3"|"3"|"D-206"|"Kassel - Frankfurt"|"Crashed after experiencing engine failure and attempting to make a forced landing."|"?"|"5"
"Fokker F-VIII"|"4993"|"2"|"1"|"August 22, 1927"|"?"|"0"|"Sevenoaks, England"|"KLM Royal Dutch Airlines"|"9"|"0"|"H-NADU
H-NADU"|"Croydon - Schiphol"|"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."|" 0830"|"11"
"Fokker Universal"|"405"|"1"|"1"|"September 03, 1927"|"?"|"0"|"Willington, Connecticut"|"Colonial Air Transport"|"0"|"0"|"NC52  	
NC52"|"?"|"The postal plane crashed for unknown reasons."|"?"|"1"
"Fokker F-VII"|"4840"|"1"|"1"|"September 17, 1927"|"?"|"0"|"Hadley, New Jersey"|"Reynolds Airways"|"11"|"6"|"NC776"|"Sightseeing"|"The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft."|"?"|"12"
"Fokker F7"|"4899/0501"|"2"|"2"|"September 17, 1927"|"?"|"0"|"Atlantic Ocean"|"Private"|"1"|"1"|"NX703"|"Old Orchad Beach - Rome"|"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."|"0405"|"3"
"Dornier Merkur"|"075"|"2"|"2"|"September 23, 1927"|"?"|"0"|"Schleiz, Germany"|"Deutsche Lufthansa"|"4"|"4"|"D-585"|"Berlin - Munich"|"From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut."|"10:00"|"6"
"Breguet 14"|"229"|"2"|"2"|"October 06, 1927"|"?"|"0"|"Thies, Mauritania"|"Lignes Aeriennes Latecoere"|"0"|"0"|"F-AGBN"|"Saint Louis - Dakar"|"The plane crashed while attempting to land at Dakar."|"?"|"2"
"Fairchild FC-2"|"20"|"1"|"1"|"October 30, 1927"|"?"|"0"|"New Brunswick, New Jersey"|"Colonial Air Transport"|"3"|"3"|"?"|"?"|"Went into a tailspin and crashed into a corn field about 10 km from the airport."|"?"|"4"
"Farman F-121 Jabiru"|"1"|"1"|"1"|"November 08, 1927"|"?"|"0"|"Strasburg, France"|"CIDNA"|"0"|"0"|"F-AIBR"|"Strasbourg - Paris"|"The mail plane crashed shortly after taking off."|"?"|"1"
"Junkers F-13"|"798"|"2"|"2"|"November 16, 1927"|"?"|"0"|"Over the Gulf of Finland"|"Aero O-Y"|"4"|"4"|"K-SALD"|"Tallinn - Helsinki"|"Crashed in the gulf of Finland and never found."|"?"|"6"
"Douglas M-4"|"PO641"|"1"|"1"|"November 29, 1927"|"?"|"0"|"Corunna, Indiana"|"National Air Transport"|"0"|"0"|"NC62  	
NC1062"|"?"|"The postal plane crashed at night in poor weather."|"?"|"1"
"Breguet 14"|"227"|"1"|"1"|"December 28, 1927"|"?"|"0"|"Almeria, Spain"|"Aeropostale"|"0"|"0"|"F-AFGS"|"Dakar - Casablanca - Alicante - Perpignan - Toulouse"|"A fire erupted aboard the mail plane while en route and crashed."|"?"|"1"
"Latécoère 23 (flying boat)"|"23-1"|"5"|"5"|"December 31, 1927"|"?"|"0"|"Near Marseille,France"|"Latecoere Airlines"|"0"|"0"|"F-AIHP"|"Test flight"|"Suffered structural failure at an altitude of 1,000 ft."|"?"|"5"
"Fairchild FC-2"|"39"|"2"|"2"|"January 08, 1928"|"?"|"0"|"Near Canajoharie, New York"|"Colonial Western Airlines"|"1"|"1"|"NC3780"|"Minola - Albany - Buffalo"|"Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo.."|"?"|"3"
"Latecoere 25"|"633"|"2"|"2"|"January 16, 1928"|"F-AIKG"|"0"|"Solis, Uruguay"|"Aeropostale"|"0"|"0"|"F-AIKG"|"Buenos Aires - Montevideo"|"The wing on the mail plane detached from the aircraft and crashed into the sea."|"?"|"2"
"Breguet 14"|"?"|"1"|"1"|"January 22, 1928"|"?"|"0"|"L'Hospitalet, Ariège"|"Aeropostale"|"0"|"0"|"
 F-AHEQ"|"Toulouse - Perpignan - Alicante - Casablanca - Dakar"|"Crashed after experiencing mechanical difficulties."|"?"|"1"
"Breguet 14"|"240"|"2"|"2"|"January 22, 1928"|"?"|"0"|"Tarragona, Spain"|"Aeropostale"|"0"|"0"|"F-AHEQ"|"Casablanca - Alicante - Perpignan - Toulouse"|"Crashed in unknown circumstances."|"?"|"2"
"Breguet 14"|"162"|"1"|"1"|"January 27, 1928"|"?"|"0"|"Almeria, Spain"|"Aeropostale"|"0"|"0"|"F-AFHN"|"

Casablanca - Alicante - Perpignan - Toulouse"|"After experiencing turbulence the pilot's seat belt broke and ejecting the pilot."|"?"|"1"
"Boeing 40"|"891"|"1"|"0"|"February 26, 1928"|"?"|"0"|"Marquette, Nebraska"|"Boeing Air Transport"|"1"|"1"|"NC280"|"?"|"The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees."|"?"|"2"
"Farman F-60 Goliath"|"62/6943"|"2"|"2"|"March 11, 1928"|"?"|"0"|"Off Cape Griz Nez, France"|"Air Union"|"0"|"0"|"F-AEFC"|"Paris - Croydon"|"Crashed into the sea while delivering mail in poor weather."|"?"|"2"
"Boeing 40"|"893"|"1"|"0"|"April 17, 1928"|"?"|"0"|"Federal, Wyoming"|"Boeing Air Transport"|"1"|"1"|"NC282
NC282"|"?"|"Spatial disorientation after entering a snowstorm."|"?"|"2"
"Rohrbach Roland"|"36"|"2"|"2"|"April 19, 1928"|"?"|"0"|"Minuesa, Spain"|"Iberia Airlines"|"7"|"7"|"M-CCCC"|"Barcelona - Madrid"|"Crashed into a field after getting lost in fog."|"?"|"9"
"Latecoere 26"|"671"|"2"|"0"|"May 07, 1928"|"?"|"0"|"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil"|"Aeropostale"|"3"|"1"|"F-AIMQ"|"?"|"An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted."|"?"|"5"
"Ford 4"|"4-AT-001"|"2"|"2"|"May 12, 1928"|"?"|"0"|"Dearborn, Minnesota"|"Ford Air Freight Inc."|"0"|"0"|"NC1492"|"Dearborn - Buffalo"|"The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed."|"?"|"2"
"Junkers F-13"|"742"|"1"|"1"|"May 26, 1928"|"?"|"0"|"Radevormwald, Germany"|"Deutsche Lufthansa"|"4"|"2"|"D-583"|"Essen - Dortmund - Frankfurt"|"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."|"?"|"5"
"AEGK"|"439"|"1"|"1"|"June 14, 1928"|"?"|"0"|"Frankfurt, Germany"|"Deutsche Lufthansa"|"4"|"4"|"D-74"|"?"|"The ""Viper"" crashed for unknown reasons."|"?"|"5"
"Douglas M-4"|"628"|"1"|"1"|"June 22, 1928"|"?"|"0"|"Lebo, Kansas"|"National Air Transport"|"0"|"0"|"NC1059"|"Chicago - Dallas"|"The mail plane flew into tornado like winds and crashed in a field."|"?"|"1"
"Junkers F-13"|"760"|"2"|"2"|"July 10, 1928"|"?"|"0"|"Over the Gulf of Finland"|"Aero O-Y"|"4"|"4"|"K-SALB"|"Tallinn - Helsinki"|"Crashed under unknown circumstances"|"?"|"6"
"Vickers 74 Vulcan"|"9"|"1"|"0"|"July 13, 1928"|"?"|"0"|"Purley, England"|"Imperial Airways"|"5"|"4"|"G-EBLB"|"Testing"|"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers."|"?"|"6"
"Fokker (KLM) F.III"|"1533 (KLM-1)"|"1"|"0"|"July 24, 1928"|"?"|"0"|"Waalhaven, Netherlands"|"KLM Royal Dutch Airlines"|"5"|"1"|"H-NABR"|"Sightseeing over Rotterdam"|"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."|"14:48"|"6"
"Ford 4-AT-B Tri Motor"|"4-AT-26"|"2"|"2"|"August 25, 1928"|"?"|"0"|"Near Port Townsend, BC, Canada"|"British Columbia Airways"|"5"|"5"|"G-CATX"|"Victoria - Seattle"|"Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster."|"c 11:00"|"7"
"Bleriot Spad 33"|"5/4207"|"3"|"3"|"September 02, 1928"|"?"|"0"|"Toul, France"|"CIDNA"|"2"|"2"|"F-AIEP"|"Toul - Clermont-Ferrand"|"After taking off the engine failed, the plane stalled and crashed."|"c 9:15"|"5"
"de Havilland DH.50J"|"5"|"2"|"1"|"September 04, 1928"|"?"|"0"|"Adelaide Hills, Australia"|"Qantas"|"0"|"0"|"G-AUHI"|"Adelaide - Longreach"|"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."|"?"|"2"
"Fokker Super Universal"|"809"|"1"|"1"|"September 04, 1928"|"?"|"0"|"Pocatello, Idaho"|"National Parks Airways"|"6"|"6"|"NC7242"|"Great Falls - Pocatello - Salt Lake City"|"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times."|"11:30"|"7"
"Fokker FG III"|"1531"|"1"|"1"|"September 06, 1928"|"?"|"0"|"Heroldbach, Germany"|"Deutsche Lufthansa"|"2"|"2"|"D-180"|"?"|"Crashed due to engine failure."|"?"|"3"
"Breguet 14"|"159"|"1"|"1"|"October 04, 1928"|"?"|"0"|"Gerona, Spain"|"Aeropostale"|"2"|"2"|"F-AEEJ
F-AEEJ"|"Casablanca - Alicante - Barcelona - Perpignan - Toulouse"|"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,"|"?"|"3"
"Douglas M-4"|"658"|"1"|"1"|"October 18, 1928"|"?"|"0"|"Polk, Pennsylvania"|"National Air Transport"|"0"|"0"|"NC1064"|"?"|"The mail plane crashed into a hill and burned during the night during poor weather conditons."|"?"|"1"
"Bleriot Spad 56"|"4381.9"|"1"|"1"|"October 31, 1928"|"?"|"0"|"Valence, France"|"Air Union"|"1"|"0"|"F-AIMN"|"Paris - Lyon - Marseille"|"The pilot attempted an emergency landing in a muddy field and crashed."|"?"|"2"
"Latecoere 32"|"80"|"3"|"1"|"November 15, 1928"|"?"|"0"|"Off Gibraltar"|"Aeropostale"|"?"|"0"|"F-AISN"|"Marseille - Palma de Majorca"|"The sea plane stuck a lightning mast and crashed into houses. Pilot error."|"?"|"3"
"Hamilton H-47"|"46"|"1"|"1"|"November 24, 1928"|"?"|"0"|"Edgerton, Ohio"|"Universal Airlines"|"2"|"2"|"NC7521"|"Cleveland - Chicago"|"The mail plane crashed in a heavy snow storm."|"?"|"3"
"Travel Air 4000"|"525"|"1"|"1"|"November 25, 1928"|"?"|"0"|"Edgerton, Ohio"|"Continental Air Lines"|"0"|"0"|"NC5436"|"Cleveland - Louisville"|"The mail plane crashed in a heavy snow storm"|"?"|"1"
"Douglas M-4"|"650"|"1"|"1"|"November 25, 1928"|"?"|"0"|"Bristolville, Ohio"|"National Air Transport"|"0"|"0"|"NC792"|"?"|"The mail plane crashed in a snow storm."|"?"|"1"
"Ford 4-AT-B Tri Motor"|"4-AT-47"|"1"|"1"|"December 01, 1928"|"?"|"0"|"Spur, Texas"|"Sunbeam Air Transport Co."|"4"|"4"|"NC7862"|"San Antonio - Amarillo - Tulsa - Denver"|"The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight."|"c 10:00"|"5"
"Dornier Wal"|"83"|"5"|"5"|"December 03, 1928"|"?"|"0"|"Near Rio de Janeiro,Brazil"|"Syndicato Condor"|"9"|"9"|"P-BACA"|"Sightseeing"|"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."|"08:00"|"14"
"Ford Tri-motor 4"|"4-AT-045"|"2"|"2"|"December 10, 1928"|"?"|"0"|"Spokan, Washington"|"Spokane Airways"|"3"|"3"|"NC7687"|"Colfax - Spokane"|"The aircraft crashed while attempting to land in fog."|"10:45"|"5"
"Junkers G-31"|"3005"|"3"|"3"|"December 11, 1928"|"?"|"0"|"Letzlingen, Germany"|"Deutsche Lufthansa"|"1"|"0"|"D-1473"|"Cologne -  Berlin"|"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames."|"?"|"4"
"Douglas M-4"|"653"|"1"|"1"|"December 20, 1928"|"?"|"0"|"Huron, Ohio"|"National Air Transport"|"0"|"0"|"NC790"|"Cleveland - Chicago"|"The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation."|"?"|"1"
"Fairchild FC-2"|"?"|"1"|"1"|"December 23, 1928"|"?"|"0"|"Chattanooga, Tennessee"|"Interstate Airlines"|"3"|"3"|"?"|"?"|"Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up properly."|"?"|"4"
"Blériot Spad 66"|"3359-40"|"1"|"0"|"December 31, 1928"|"?"|"0"|"Reims, France"|"CIDNA"|"2"|"2"|"F-AEHX"|"Strasbourg - Paris"|"Crashed into high ground in fog."|"?"|"3"
"Fairchild FC-2"|"111"|"1"|"1"|"January 05, 1929"|"?"|"0"|"Stafford Springs, Connecticut"|"Colonial Air Transport"|"0"|"0"|"NC5650"|"?"|"Struck a mountain slope  in poor weather."|"?"|"1"
"Stearman C-38"|"102"|"1"|"1"|"January 18, 1929"|"?"|"0"|"Cove, Oregon"|"Varney Air Lines"|"0"|"0"|"NC1682"|"Boise, ID - Pasco, WA"|"While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot."|"?"|"1"
"CMASA Wal"|"053"|"2"|"2"|"January 25, 1929"|"?"|"0"|"Near Corfu, Greece"|"Aeroespresso"|"7"|"7"|"I-AZDA"|"Brindisi - Athens - Istanbul"|"The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas."|"?"|"9"
"Latecoere 26"|"674"|"2"|"2"|"January 31, 1929"|"?"|"0"|"Off Morocco"|"Aeropostale"|"0"|"0"|"F-AIMU
F-AIMU"|"Agadir - Casablanca"|"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons."|"?"|"2"
"Travel Air 4000"|"800"|"1"|"1"|"January 31, 1929"|"?"|"0"|"Morgantown, West Virginia"|"Skyline Transportation Company"|"0"|"0"|"NC6480"|"?"|"While attempting to land, the aircraft overran the runway and hit the perimeter fence."|"?"|"1"
